Stay	Age	InfctRsk
8.8200	58.2000	1.60000
11.2000	56.5000	5.70000
9.7600	50.9000	5.10000
11.1800	45.7000	5.40000
8.8400	56.3000	6.30000
11.0700	53.2000	4.90000
12.7800	56.8000	7.70000
7.5800	56.7000	3.70000
11.6200	53.9000	6.40000
9.0600	52.8000	4.20000
10.2400	49.0000	4.80000
9.7800	52.3000	5.00000
8.2800	49.5000	3.90000
9.3100	47.2000	4.50000
8.1900	52.1000	3.20000
11.6500	54.5000	4.40000
9.8900	50.5000	4.90000
11.0300	49.9000	5.00000
9.8400	53.0000	5.20000
11.7700	54.1000	5.30000
13.5900	54.0000	6.10000
9.7400	54.4000	6.30000
10.3300	55.8000	5.00000
9.9700	58.2000	2.80000
10.4700	53.2000	4.10000
8.3700	50.7000	5.50000
10.9000	57.2000	5.50000
11.4800	57.6000	5.60000
9.2300	51.6000	4.30000
12.0700	43.7000	7.80000
8.6300	54.0000	3.10000
11.1500	56.5000	3.90000
10.7300	50.6000	3.90000
10.4200	58.0000	3.40000
11.1800	51.0000	5.70000
9.6600	52.1000	4.40000
9.4200	50.6000	4.30000
10.0200	49.5000	4.40000
8.0300	54.2000	3.50000
7.3900	51.0000	4.20000
10.0500	52.0000	4.50000
8.4500	38.8000	3.40000
8.9000	49.7000	2.90000
10.2300	53.2000	4.90000
8.8800	55.8000	4.40000
10.3000	59.6000	5.10000
10.7900	44.2000	2.90000
7.9400	49.5000	3.50000
10.3900	54.6000	4.30000
9.3600	54.1000	4.80000
8.9200	53.9000	1.30000
9.7700	50.2000	5.30000
8.5400	56.1000	2.50000
12.0100	52.8000	4.80000
9.8900	45.2000	4.30000
13.9500	65.9000	6.60000
8.0200	55.0000	2.10000
11.8000	53.8000	5.70000
